"OnOff" "Rate" "PSNR"
"1" "Enable" 942.44 40.58669
"2" "Enable" 712.58 39.55864
"3" "Enable" 544.56 38.60489
"4" "Enable" 420.06 37.43861
"5" "Enable" 323.32 36.318815
"6" "Enable" 248.18 35.251905
"7" "Enable" 1274.7 41.55355
"8" "Enable" 198.78 34.02709
"9" "Disable" 1274.7 41.55355
"10" "Disable" 1035.32 40.343045
"11" "Disable" 774.46 39.40735
"12" "Disable" 576.54 38.35097
"13" "Disable" 499.52 37.220505
"14" "Disable" 346.92 36.2443
"15" "Disable" 252.76 35.128555
"16" "Disable" 279.08 33.89454
