"OnOff" "Rate" "PSNR"
"1" "Disable" 1386.01 41.342455
"2" "Disable" 1069.2 40.324735
"3" "Disable" 842.7 39.25733
"4" "Disable" 667.4 38.134075
"5" "Disable" 540.68 36.955075
"6" "Disable" 451.15 35.75089
"7" "Disable" 378.99 34.509175
"8" "Disable" 326.22 33.17981
"9" "Enable" 1169.96 41.55245
"10" "Enable" 867.77 40.560775
"11" "Enable" 657.07 39.507665
"12" "Enable" 500.15 38.377905
"13" "Enable" 386.03 37.233365
"14" "Enable" 301.07 36.055585
"15" "Enable" 236.99 34.799865
"16" "Enable" 187.63 33.595405
