"PSNR" "Ratio" "QP_texture" "Rate"
"1" 41.557125 2.80154223624255 26 1084.58
"2" 41.552665 3.21396097364715 26 1047.38
"3" 41.550355 3.69758512213175 26 1015.43
"4" 41.55896 4.1555659543493 26 991.57
"5" 41.557735 4.85269671783049 26 964.7
"6" 41.550525 5.44145860262603 26 946.83
"7" 41.551905 6.24935491437954 26 927.12
"8" 41.551845 7.12363053353523 26 912.04
"9" 41.548275 8.11800486618005 26 899.4
"10" 41.54793 9.29994202898551 26 888.37
"11" 41.55071 10.6284276063055 26 877.83
"12" 40.613575 2.11654522836325 28 876.84
"13" 40.560545 2.33529978328919 28 831.09
"14" 40.56301 2.68286716514354 28 797.93
"15" 40.56414 3.02752150117279 28 772.68
"16" 40.55444 3.53768142345297 28 747.22
"17" 40.559465 3.9471359652103 28 728.07
"18" 40.56372 4.52028287224122 28 710.35
"19" 40.55456 5.19099323602706 28 695.62
"20" 40.55258 5.90590499341639 28 681.82
"21" 40.55308 6.75208140610546 28 670.4
"22" 40.55002 7.74592012737163 28 659.18
"23" 39.501925 1.53530279612196 30 721.75
"24" 39.49883 1.7593621647741 30 685.26
"25" 39.507435 2.02222427574735 30 654.1
"26" 39.50266 2.27463323275414 30 629.45
"27" 39.50634 2.65906748317468 30 603.49
"28" 39.49753 2.9901686352154 30 584.44
"29" 39.50444 3.42466822794692 30 566.8
"30" 39.50181 3.90245639017444 30 550.84
"31" 39.495235 4.46474293842715 30 537.84
"32" 39.491455 5.1015652173913 30 526.26
"33" 39.49079 5.84038742205121 30 515.56
"34" 38.366825 1.16985780656061 32 616.5
"35" 38.357315 1.33237937845137 32 578.64
"36" 38.348265 1.52788826195542 32 546.58
"37" 38.36749 1.72547591802767 32 524
"38" 38.438475 2.12126526777325 32 498.31
"39" 38.34501 2.2587931151779 32 479.01
"40" 38.36114 2.59063916236912 32 459.53
"41" 38.363175 2.94924761819963 32 443.54
"42" 38.364145 3.37686756784226 32 430.64
"43" 38.357325 3.86247248291044 32 419.68
"44" 38.36324 4.42736061448815 32 409.82
"45" 37.216035 0.883875713735244 34 537.79
"46" 37.22314 1.01561996779388 34 500.68
"47" 37.22875 1.16655116655117 34 468.95
"48" 37.21935 1.31603626133167 34 444.54
"49" 37.21305 1.53945847277152 34 417.36
"50" 37.22183 1.73419019621248 34 399.93
"51" 37.301065 2.12086565945284 34 382.15
"52" 37.2159 2.2656543099598 34 365.59
"53" 37.22879 2.59508514326502 34 352.57
"54" 37.22281 2.94318181818182 34 340.06
"55" 37.21353 3.40221303826157 34 330.21
"56" 36.03981 0.695145562713416 36 481.54
"57" 36.047415 0.796096496545036 36 444.48
"58" 36.04344 0.914704246245133 36 413.04
"59" 36.052145 1.03099723425351 36 389.2
"60" 36.052325 1.20449984797811 36 362.53
"61" 36.051345 1.35337574389493 36 344.04
"62" 36.055445 1.5437143526838 36 325.57
"63" 36.04878 1.77440114408295 36 310.4
"64" 36.04987 2.02268104149715 36 297.19
"65" 36.05908 2.31795467751307 36 285.51
"66" 36.04987 2.66338346865433 36 275.23
"67" 34.836585 0.550389509676055 38 439.83
"68" 34.82043 0.628581806441198 38 403.53
"69" 34.758775 0.720347199778383 38 372.61
"70" 34.82334 0.810156942489181 38 347.17
"71" 34.82824 0.94530111704711 38 320.43
"72" 34.818905 1.0680981595092 38 303.39
"73" 34.809915 1.22796709753231 38 284.4
"74" 34.80773 1.39262434145906 38 267.95
"75" 34.818565 1.59204233234965 38 254.72
"76" 34.804575 1.82420011634671 38 242.74
"77" 34.80561 2.08910103420843 38 232.98
"78" 33.618815 0.437427148458196 40 406.95
"79" 33.619215 0.501556498888215 40 371.41
"80" 33.62178 0.574445422127541 40 339.97
"81" 33.62085 0.64765890661784 40 314.95
"82" 33.61391 0.755828818408717 40 288.43
"83" 33.61218 0.848103860608131 40 270.47
"84" 33.61555 0.965957113789325 40 251.21
"85" 33.61453 1.11758379637928 40 236.28
"86" 33.609895 1.2718545751634 40 222.46
"87" 33.621595 1.46111565898725 40 210.45
"88" 33.61249 1.67845230153436 40 200.75
