"Sequence" "DepthBaseMVP" "AdaptiveLuminanceCompensation" "VSP_Enable" "Texture_QPISlice" "Texture_QPPSlice" "FrameToBeEncoded" "Depth_QPISlice" "Depth_QPPSlice" "T1_Rate" "T5_Rate" "D1_Rate" "D5_Rate" "Ratio" "T1_PSNR" "T5_PSNR" "AVE_PSNR" "SUM_Rate"
"1" "kendo" "Enable" "Enable" "Enable" 26 26 10 26 26 389.52 456.84 176.4 251.94 NA 41.80073 41.30637 41.55355 1274.7
"2" "kendo" "Enable" "Enable" "Enable" 26 26 20 28 28 405.58 467.09 143.99 199.48 2.54074591667395 41.78902 41.30996 41.54949 1216.14
"3" "kendo" "Enable" "Enable" "Enable" 26 26 20 29 29 413.72 476.52 126.29 176.86 2.93663203034801 41.80261 41.32589 41.56425 1193.39
"4" "kendo" "Enable" "Enable" "Enable" 26 26 20 30 30 412.95 474.13 110.48 154.22 3.35126558367964 41.81266 41.33495 41.573805 1151.78
"5" "kendo" "Enable" "Enable" "Enable" 26 26 20 31 31 404.3 466.15 98.31 136.96 3.69979172865219 41.78144 41.29445 41.537945 1105.72
"6" "kendo" "Enable" "Enable" "Enable" 26 26 20 32 32 414.02 475.9 85.47 115.77 4.4221824686941 41.80745 41.33414 41.570795 1091.16
"7" "kendo" "Enable" "Enable" "Enable" 26 26 20 33 33 413.42 474.7 76.48 104.95 4.89511106211762 41.78945 41.3236 41.556525 1069.55
"8" "kendo" "Enable" "Enable" "Enable" 26 26 20 34 34 403.71 467.64 65.15 91.96 5.54611418751193 41.78025 41.30197 41.54111 1028.46
"9" "kendo" "Enable" "Enable" "Enable" 26 26 20 35 35 411.87 475.98 57.28 78.68 6.53022947925861 41.80789 41.33617 41.57203 1023.81
"10" "kendo" "Enable" "Enable" "Enable" 26 26 20 36 36 412.31 474.97 48.99 68.82 7.53144894321365 41.79754 41.33105 41.564295 1005.09
"11" "kendo" "Enable" "Enable" "Enable" 26 26 20 37 37 405.54 468.98 43.27 60.13 8.45764023210832 41.755333 41.29311 41.5242215 977.92
"12" "kendo" "Enable" "Enable" "Enable" 26 26 20 38 38 414.96 475.41 36.95 50.99 10.1247441437344 41.79299 41.33519 41.56409 978.31
"13" "kendo" "Enable" "Enable" "Enable" 28 28 20 28 28 281.94 326.3 136.26 197.94 1.81998803111909 40.85049 40.32289 40.58669 942.44
"14" "kendo" "Enable" "Enable" "Enable" 28 28 20 29 29 304.21 344.59 126.89 176.21 2.14054767403497 40.88531 40.32289 40.6041 951.9
"15" "kendo" "Enable" "Enable" "Enable" 28 28 20 30 30 294.67 337.07 110.01 153.77 2.39495033740238 40.83729 40.32801 40.58265 895.52
"16" "kendo" "Enable" "Enable" "Enable" 28 28 20 31 31 301.43 342.56 97.24 137.83 2.73956693750798 40.8868 40.37807 40.632435 879.06
"17" "kendo" "Enable" "Enable" "Enable" 28 28 20 32 32 301.93 343.08 85.43 116.42 3.19549170175873 40.88269 40.3812 40.631945 846.86
"18" "kendo" "Enable" "Enable" "Enable" 28 28 20 33 33 294.25 335.86 76.85 104.31 3.47819606977258 40.82519 40.33396 40.579575 811.27
"19" "kendo" "Enable" "Enable" "Enable" 28 28 20 34 34 302.65 345.23 65.06 92.42 4.11404622809246 40.86898 40.39199 40.630485 805.36
"20" "kendo" "Enable" "Enable" "Enable" 28 28 20 35 35 301.2 344.16 56.94 78.89 4.75123315909593 40.88353 40.39401 40.63877 781.19
"21" "kendo" "Enable" "Enable" "Enable" 28 28 20 36 36 295.21 338.12 49.3 68.81 5.36220472440945 40.81521 40.34704 40.581125 751.44
"22" "kendo" "Enable" "Enable" "Enable" 28 28 20 37 37 303.11 345.27 43.39 59.75 6.28640682567384 40.88377 40.4053 40.644535 751.52
"23" "kendo" "Enable" "Enable" "Enable" 28 28 20 38 38 304.38 345.74 37.4 50.97 7.35679529252009 40.86563 40.39928 40.632455 738.49
"24" "kendo" "Enable" "Enable" "Enable" 30 30 20 28 28 223.98 253.11 145 201.63 1.37636673109656 39.8025 39.35046 39.57648 823.72
"25" "kendo" "Enable" "Enable" "Enable" 30 30 20 29 29 228.87 259.38 126.21 175.82 1.61656126874814 39.88547 39.199 39.542235 790.28
"26" "kendo" "Enable" "Enable" "Enable" 30 30 20 30 30 212.68 245.44 103.56 150.9 1.80036154994891 39.80913 39.30815 39.55864 712.58
"27" "kendo" "Enable" "Enable" "Enable" 30 30 20 31 31 230.3 258.71 98.89 136.42 2.07815222472483 39.88482 39.37136 39.62809 724.32
